original,root
1908 BRANDS,1908
3M/COMMERCIAL TAPE DIV.,3m
"ACCO BRANDS, INC.",acco
ACCUFORM,accuform
ACME UNITED CORPORATION,acme
ACRO PRINT TIME RECORDER,acro
ADESSO INC,adesso
ADVANTUS CORPORATION,advantus
AJM PACKAGING CORP.,ajm
ALBANESE CANDY COMPANY,albanese
ALERA,alera
ALLIANCE,alliance
ALLIANCE RUBBER,alliance
"ALLSOP, INC.",allsop
ALPHACHEM,alphachem
AMERICAN EAGLE PAPER MILLS,eagle
AMERICAN LICORICE COMPANY,licorice
AMERICAN PAPER CONVERTING,paper
AMERICAN POWER CONVERSION,power
AMERICAN TOMBOW INC.,tombow
AMERICO MANUFACTURING CO,americo
AMPLIVOX PORTABLE SOUND SYS.,amplivox
ANCHOR PACKAGING,anchor
ANLE PAPER/SEALED AIR CORP.,anle
APACHE MILLS,apache
APC FILTRATION INC,apc
ARMALY BRANDS,armaly
ARMORED AUTOGROUP INC,armored
ARTISTIC LLC,artistic
AT-A-GLANCE,ataglance
AVANTI,avanti
AVERY PRODUCTS CORPORATION,avery
BAGCRAFT,bagcraft
BARRICKS MANUFACTURING CO,barricks
BAUMGARTENS,baumgartens
"BAUSCH & LOMB, INC.",bausch
BI-SILQUE VISUAL COMMUNICATION PRODUCTS INC,bisilque
BIC CORP.,bic
BIG D,big
BINNEY & SMITH / CRAYOLA,binney
BK RESOURCES,bk
BOARDWALK,boardwalk
BOBRICK WASHROOM,bobrick
BONA US,bona
BROWN PAPER GOODS,brown
BUNN-O-MATIC,bunn
BUSH INDUSTRIES,bush
"C-LINE PRODUCTS, INC",cline
CANON COMPUTER SYSTEMS CCSI,canon
"CANON USA, INC.",canon
CARSON-DELLOSA EDUCATION,carson
CASCADES TISSUE GROUP,cascades
CASELOGIC,caselogic
CFS BRANDS,cfs
CHAMPION SPORT,champion
CHARTPAK/PICKETT,chartpak
CHASE PRODUCTS,chase
"CHICOPEE, INC",chicopee
"CHURCH & DWIGHT CO., INC",church
CLAIRE MANUFACTURING COMPANY,claire
CLEAN CONTROL CORPORATION,clean
CLOROX SALES CO.,clorox
"COLGATE PALMOLIVE, IPD.",colgate
COMPASS MINERALS GROUP,compass
CONSOLIDATED STAMP,consolidated
CONTROLTEK,controltek
COSCO,cosco
CRAMER,cramer
CROWN MATS & MATTING,crown
D-LINE,dline
DART,dart
DATA-VAC,data
DEFLECTO CORPORATION,deflecto
DELL,dell
DIAL PROFESSIONAL,dial
DIXIE FOOD SERVICE,dixie
DIXON TICONDEROGA CO.,dixon
DOME PUBLISHING COMPANY,dome
DOMTAR PAPER,domtar
DRI-MARK PRODUCTS,dri
DURABLE OFFICE PRODUCTS CORP.,durable
DURABLE PACKAGING,durable
DURACELL PRODUCTS COMPANY,duracell
DURO BAG MANUFACTURING CO.,duro
DYMO,dymo
E.S. ROBBINS,robbins
EARTH FRIENDLY PRODUCTS,earth
"ECO-PRODUCTS,INC.",eco
"EPSON AMERICA, INC.",epson
ERGODYNE CORPORATION,ergodyne
ESSITY,essity
EVEREADY BATTERY,eveready
EXCELL METAL PRODUCTS CO,excell
FALCON SAFETY,falcon
FELLOWES MFG. CO.,fellowes
FIRE KING INTERNATIONAL,fire
FLIPSIDE PRODUCTS,flipside
FLOORTEX,floortex
FRESH PRODUCTS,fresh
FREUDENBERG HOUSEHOLD PRODUCTS,freudenberg
"FUJI PHOTO FILM USA, INC.",fuji
GEN,gen
GEN-PAK CORP.,gen
GEOGRAPHICS,geographics
GEORGIA PACIFIC,georgia
"GHENT MANUFACTURING, INC",ghent
GILCHRIST & SOAMES,gilchrist
GLOBAL MATERIAL TECHNOLOGIES,global
GO-JO INDUSTRIES,gojo
GORILLA GLUE COMPANY,gorilla
HANDY WACKS CORPORATION,handy
HENKEL CORPORATION,henkel
HFA INC,hfa
HIRSH INDUSTRIES SPACE SOLUTIONS,hirsh
HOFFMASTER,hoffmaster
HOMEFREE,homefree
HON COMPANY,hon
HONEYWELL ENVIRONMENTAL,honeywell
HOSPECO,hospeco
HOUSE OF DOOLITTLE,house
"HSM OF AMERICA, LLC",hsm
HUHTAMAKI,huhtamaki
IBM,ibm
ICONEX,iconex
INNOVERA,innovera
INSTA GRAPHIC SYSTEMS,insta
INTEGRATED BAGGING SYSTEMS,integrated
ITW PRO BRANDS,itw
JAVA TRADING CO.,java
"JELMAR, LLC",jelmar
JOHNSON & JOHNSON,johnson
"JOYSUDS, LLC.",joysuds
KANTEK INC.,kantek
KARAT BY LOLLICUP,karat
KARI-OUT COMPANY,kari
KATUN CORPORATION,katun
KELLOGG'S,kellogg
KELLY COMPUTER SUPPLIES,kelly
KESS INDUSTRIAL PROD.,kess
KIDDE,kidde
KIMBERLY CLARK,kimberly
KIMBERLY-CLARK PROFESSIONAL,kimberly
KIND LLC,kind
LA-Z-BOY CHAIR COMPANY,lazboy
LABELMASTER,labelmaster
"LAROSE INDUSTRIES, LLC",larose
LATHEM TIME CORPORATION,lathem
LAVAZZA,lavazza
LDS INDUSTRIES LLC,lds
LEE PRODUCTS COMPANY,lee
"LEXMARK INT'L, INC.",lexmark
LIL DRUGSTORE PRODUCTS,lil
LINEA ITALIA,linea
"LOGITECH, INC.",logitech
MASTER CASTER COMPANY,master
MASTER LOCK COMPANY,master
MAX USA CORP.,max
MEAD PRODUCTS,mead
"MEDLINE INDUSTRIES, INC.",medline
MERCURY FLOOR MACHINES,mercury
MIDLAB,midlab
MILLENNIUM MAT COMPANY,millennium
MOHAWK FINE PAPERS,mohawk
MORCON,morcon
MOTSENBOCKER'S,motsenbocker
NATIONAL CHECKING CO.,national
NEENAH PAPER,neenah
NEKOOSA COATED PRODUCTS LLC,nekoosa
NESTLE,nestle
NESTLE HEALTH SCIENCE,nestle
"NESTLE WATERS, N.A.",nestle
NEW ENGLAND COFFEE COMPANY,new
NUMI,numi
OFFICE IMPRESSIONS,office
"OFFICE SNAX, INC.",office
OFFICEMATE INTERNATIONAL CORP.,officemate
PACON CORPORATION,pacon
PACTIV EVERGREEN CORPORATION,pactiv
PAPANICHOLAS COFFEE,papanicholas
PATERSON PAPER,paterson
PEETS,peets
PENTEL OF AMERICA,pentel
PHILIPS SPEECH PROCESSING,philips
PILOT CORP. OF AMERICA,pilot
PITT PLASTICS,pitt
PLASTIFAR SA,plastifar
POLYMERSHAPES,polymershapes
PREGIS,pregis
PREMIER MARTIN YALE,premier
PRINTRONIX,printronix
PROCTER & GAMBLE,procter
PRODUCTS FOR YOU,foryou
QUICKIE,quickie
RDI USA,rdi
RECKITT BENCKISER,reckitt
REDIFORM OFFICE PRODUCTS,rediform
REMCODA LLC,remcoda
RICOH CORP.,ricoh
ROARING SPRING PAPER PRODUCTS,roaring
ROCKETBOOK,rocketbook
"ROSS & WALLACE PAPER PRODUCTS, INC.",ross
RUBBERMAID,rubbermaid
RUBBERMAID COMMERCIAL PROD.,rubbermaid
RUST-OLEUM CORPORATION,rust
SAFCO PRODUCTS,safco
SAMSILL CORPORATION,samsill
SANFORD,sanford
SANI PROFESSIONAL,sani
"SAUNDERS MFG. CO., INC.",saunders
SC JOHNSON,johnson
SCHNEIDER,schneider
"SEE ALL INDUSTRIES, INC.",see
"SEIKO INSTRUMENTS USA, INC.",seiko
"SELLARS ABSORBENT MATERIALS, INC.",sellars
SENTRY,sentry
"SHEILA SHINE, INC.",sheila
SHURTAPE TECHNOLOGIES,shurtape
SMEAD MANUFACTURING CO.,smead
SOAP2O,soap2o
SOFIDEL AMERICA,sofidel
SOLARIS PAPER,solaris
SOLUPAC,solupac
SOUTHERN CHAMPION TRAY,southern
SPANGLER CANDY COMPANY,spangler
"STAEDTLER, INC.",staedtler
STANLEY BOSTITCH,stanley
STERNO GROUP,sterno
STOREX,storex
STOUT,stout
STRIDE WRITING,stride
SUNCAST CORPORATION,suncast
"SUNSHINE MAKERS, INC.",sunshine
TABBIES,tabbies
"TABLEMATE PRODUCTS, CO.",tablemate
"TARIFOLD, INC.",tarifold
TATCO,tatco
TENNSCO,tennsco
"THE COIN-TAINER CO., LLC",coin
"THE RAYNOR GROUP, INC.",raynor
THEOCHEM,theochem
TOLCO CORPORATION,tolco
"TONER FOR COPY&FAX,RIBBONS",toner
TOOTSIE ROLL INDUSTRIES,tootsie
TOPS BUSINESS FORMS,tops
TRANSMACRO AMENITIES,transmacro
"TREND ENTERPRISES, INC.",trend
TRI INDUSTRIES NFP,tri
TRINITY PLASTICS INC.,trinity
TRODAT,trodat
TROY,troy
"TST/IMPRESO, INC.",tst
U. S. STAMP & SIGN,stamp
UNGER,unger
UNI,uni
UNICORN,unicorn
UNILEVER,unilever
UNIMED,unimed
UNIVERSAL OFFICE PRODUCTS,universal
VEGWARE,vegware
"VELCRO USA, INC.",velcro
VEND-RITE MANUFACTURING CO,vend
VERBATIM CORPORATION,verbatim
VICTOR TECHNOLOGY LLC,victor
VULCAN INFORMATION PACKAGING,vulcan
WD-40,wd
WEBSTER INDUSTRIES,webster
WEIMAN,weiman
WEXFORD LABS,wexford
WINDSOFT,windsoft
WORLD CENTRIC,world
XEROX CORP.,xerox
ZEBRA PEN CORP.,zebra
ZEBRA TECHNOLOGIES,zebra
ZEP INC.,zep
ZEVIA PBC,zevia
